,center,area_m2,avg_stars,choice,no_truck_length,distance_pool,avg_housing_price,foreclosure_count,foreclosure_over_area
196,"39.95672002199704,-75.16756315656397",322876,3.4765625,False,2513.6970435597023,0.01010097482577206,,0,0.0
197,"39.95070906689391,-75.16891705817602",140491,3.738512035010941,False,0.0,0.00849621042129595,54272.0,2,1.4235787345808629e-05
198,"39.954186659658994,-75.17224009695899",42012,3.28,False,0.0,0.011035559082429336,,0,0.0
199,"39.98508824338445,-75.20020188963831",8922478,3.5105263157894737,True,1904.427003879897,0.0,,0,0.0
200,"39.94829773675778,-75.16677251690666",43070,3.6339285714285716,False,457.974636425733,0.006740293113640318,216000.0,0,0.0
201,"39.94966750574342,-75.17346010388142",16755,3.9833333333333334,False,308.318186607349,0.00725586887875036,42176.0,0,0.0
202,"39.95146776340619,-75.17500658564077",40106,3.7982456140350878,False,0.0,0.008302326936996403,120688.0,1,2.4933925098489004e-05
203,"39.94849560136395,-75.1653495549095",30139,3.5297619047619047,False,457.974636425733,0.007944170677647697,29984.0,1,3.3179601181193804e-05
204,"39.94948206623099,-75.1750333726112",43981,3.782608695652174,False,1301.158707141638,0.0070226308205282246,45968.0,0,0.0
205,"39.94678260454136,-75.16897718504548",65398,3.764705882352941,False,0.0,0.004644358733554114,96768.0,0,0.0
206,"39.94726925176218,-75.17290833009662",43822,4.5,False,0.0,0.004665462972842463,89440.0,1,2.2819588334626442e-05
207,"39.94653778966353,-75.19731618465883",1014661,3.3636363636363638,True,0.0,0.003634442435547968,,0,0.0
208,"39.90173862613543,-75.21405091393552",17228698,2.9430894308943087,True,940.473624936455,0.0016797759387330521,108288.0,10,5.804269132815492e-07
209,"39.93345380647273,-75.14675407666726",98071,4.178571428571429,False,1622.7925533380944,0.002055702376447638,20560.0,4,4.078677692692029e-05
210,"39.90918775385875,-75.14457817769049",5957147,3.099056603773585,False,0.0,0.005469638362012993,351808.5,0,0.0
211,"40.04817965765968,-75.21265794461831",5476589,4.071428571428571,False,9054.455650385742,0.004200683167425482,,0,0.0
212,"40.05301615038018,-75.23332638235456",368848,4.181818181818182,False,0.0,0.016336887687179256,32583.0,0,0.0
213,"39.93005353990704,-75.1698808737759",31448,4.5,False,0.0,0.008063106997187377,5664.0,5,0.00015899262274230477
214,"39.93046489526151,-75.17304969046369",43992,4.0,False,0.0,0.006892958567537213,6864.0,1,2.2731405710129114e-05
215,"39.91769063660211,-75.18410508625465",867907,2.772727272727273,False,0.0,0.0,29120.0,1,1.15219718241701e-06
216,"40.01128525405502,-75.14515359722238",239372,3.5,False,613.4991872211114,0.003910930877374494,3168.0,2,8.355196096452384e-06
217,"40.00596620567763,-75.14224275467896",112578,,False,528.690724484628,0.009381063059644803,2436.0,3,2.6648190587859083e-05
218,"40.01167203031542,-75.15879113133931",137453,3.5,False,1811.6978883915,0.013878650188792488,7648.0,2,1.4550428146348207e-05
219,"40.017175922682725,-75.16296902985016",924803,3.5,False,3857.595227134853,0.011055509117508328,5632.0,1,1.0813113711785105e-06
220,"40.028315415401295,-75.20703239954527",363943,3.1315789473684212,False,3631.126552480732,0.00029233010639255664,22304.0,0,0.0
221,"40.04151597412309,-75.1962221949509",522005,4.0,False,2471.2288160247726,0.016168902902521987,58816.0,0,0.0
222,"40.04755756977046,-75.18534890451086",248959,4.666666666666667,False,642.868834992432,0.006120329871230376,16048.0,2,8.033451291176459e-06
223,"40.03328149678674,-75.17591925430952",407855,3.2758620689655173,False,0.0,0.016996966914099323,18720.0,6,1.4711110566255164e-05
224,"40.0299032756144,-75.17916572358216",252042,3.1136363636363638,False,0.0,0.022459940892236036,14400.0,4,1.5870370811214005e-05
225,"40.028726971938966,-75.1666747301364",120610,3.5,False,611.354046513044,0.015024066428368383,9632.0,3,2.487355940635105e-05
226,"40.02644169723463,-75.16462133719581",165271,3.5,False,0.0,0.015035053925579843,9152.0,9,5.445601466681995e-05
227,"40.030684339458375,-75.16013737741793",267132,4.0,False,0.0,0.007992768502555266,11952.0,1,3.7434676489525777e-06
